de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
02.03.2011;-16.83791667;-26.11;-8.52;1.846875;12.090381;0;71.68181818
03.03.2011;-10.53416667;-21.11;-4.48;2.968333333;7.019327;0.561739085;78.47619048
04.03.2011;-5.45875;-7.48;-2.78;4.370416667;8.569323;0.397057418;86.33333333
05.03.2011;-2.81125;-7.22;0.21;5.980416667;4.036794875;1.121428926;80.16666667
06.03.2011;-3.067916667;-7.78;0;4.53;11.281668;0.68928524;76.875
07.03.2011;-6.549166667;-11.11;-2.78;3.893333333;11.043913;0.459998846;83.29166667
08.03.2011;-8.69375;-13.89;-2.93;2.672608696;12.564839;0;78.5
09.03.2011;-9.449166667;-16.11;-2.48;1.509333333;13.720691;0;73.36363636
10.03.2011;-10.12875;-17.22;-3.89;2.931578947;14.039225;0;77.82608696
11.03.2011;-10.34333333;-15;-5;3.458333333;12.332693;0;81.08333333
12.03.2011;-5.477083333;-13.89;0.53;3.102083333;8.355844;1.87750347;86
13.03.2011;0.594583333;-3.89;3.89;2.625217391;13.126298;0;70.83333333
14.03.2011;2.819583333;-1.11;6.63;4.624782609;10.970052;0;74.83333333
15.03.2011;3.006666667;1.11;4.48;4.357083333;9.8532285;0.687618478;83.95833333
16.03.2011;-0.758333333;-2.78;0.72;4.54875;14.090588;0.30070926;76.33333333
17.03.2011;-2.837083333;-6.11;-1.7;4.019583333;11.435999;0.861488748;84.54166667
18.03.2011;-3.798333333;-7.78;-0.59;2.364;12.88253;0.454602312;86.875
19.03.2011;-2.488333333;-7.22;1.11;3.752173913;12.699277;0;78.58333333
20.03.2011;-1.93375;-8.89;2.78;2.519375;12.531381;0.385731459;76.08333333
21.03.2011;-1.017083333;-7.22;1.63;1.966818182;9.242286;0.617558602;85.16666667
22.03.2011;-0.59;-8.89;3.3;3.141904762;14.339131;0.155150658;79.45833333
23.03.2011;2.157916667;0;3.82;5.073333333;5.299289;0.616910416;87.5
24.03.2011;0.27875;-2.22;2.22;6.46625;10.972065;0.746370963;75.125
25.03.2011;-1.582083333;-3.89;1.63;7.75875;16.376085;0;64.29166667
26.03.2011;-4.428333333;-12.22;-0.31;4.295238095;7.455851;1.73383113;76.375
27.03.2011;-4.871304348;-13.89;0.22;3.793333333;17.565783;0;51.56521739
28.03.2011;-2.064166667;-7.78;1.89;3.995833333;18.279446;0;54.5
29.03.2011;0.330416667;-2.22;3.53;3.97625;9.431141;1.161586668;82.20833333
30.03.2011;2.672916667;-0.04;6.31;3.111818182;14.195255;0.481188297;79.91666667
31.03.2011;1.28;-2.78;4.22;3.473913043;19.058999;0;67.125
01.04.2011;-1.83625;-8.89;3.82;3.161428571;18.783198;0.404285442;68.375
02.04.2011;1.961666667;-2.78;7.5;3.971666667;17.36713;0.866262242;68.375
03.04.2011;2.80375;-3.89;8.67;3.765217391;19.157143;0;64.04166667
04.04.2011;3.347916667;-1.66;8.3;5.434166667;19.240433;0;63.33333333
05.04.2011;4.683333333;2.11;8.3;4.344166667;18.662556;0.766962767;59.33333333
06.04.2011;3.67625;1.99;6.18;2.625909091;6.367918;2.640753984;74.625
07.04.2011;5.527916667;1.11;10.07;2.734166667;12.593945;1.44684338;76.70833333
08.04.2011;5.719166667;2.78;7.78;3.415833333;1.528341813;10.09830856;90.5
09.04.2011;3.445416667;1.44;6.11;3.81125;10.56209406;5.795076024;85.375
10.04.2011;2.805416667;1.11;6.11;5.371666667;13.637961;2.770182473;86.5
11.04.2011;3.257083333;1.11;6.18;2.934090909;12.710101;2.887256211;83.25
12.04.2011;3.6775;1.55;6.7;1.7475;14.919037;0.852067489;82.25
13.04.2011;5.262916667;0;10;3.071764706;15.635329;0.578336883;71.625
14.04.2011;3.93125;1.11;5.52;2.414;5.127881625;2.1043999;87.45833333
