KA5-class;texture class;Sand(%);Silt(%);Clay(%);Wilting Point;Field capacity;Bulk density
Tt;Clay;0.2;0.1;0.7;0.345357;0.560432;1.089951
St3;Sandy Clay Loam;0.7;0.1;0.2;0.111386;0.233878;1.347594
Ls3;Loam;0.5;0.3;0.2;0.108142;0.263361;1.312238
Lu;Silt Loam;0.2;0.6;0.2;0.103415;0.31515;1.259204
Uu;Silt  ;0.04;0.87;0.09;0.082338;0.32578;1.338801
Lt2;Clay Loam;0.3;0.35;0.35;0.165213;0.359505;1.201276
